geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-2990846	SUMOylation	http://reactome.org/PathwayBrowser/#/R-HSA-2990846	8	6	0.7912087912087912	7.583333333333334	1.3248498222262484e-5	2.5944975685264027e-4	10499;10891;1487;5465;6095;8648	PPARGC1A;PPARA;NCOA2;NCOA1;CTBP1;RORA
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	http://reactome.org/PathwayBrowser/#/R-HSA-3108232	8	6	0.7912087912087912	7.583333333333334	1.3248498222262484e-5	2.5944975685264027e-4	10499;10891;1487;5465;6095;8648	PPARGC1A;PPARA;NCOA2;NCOA1;CTBP1;RORA
R-HSA-3899300	SUMOylation of transcription cofactors	http://reactome.org/PathwayBrowser/#/R-HSA-3899300	4	4	0.3956043956043956	10.11111111111111	7.752178362119277e-5	0.0012145079433986867	10499;10891;1487;8648	PPARGC1A;NCOA2;NCOA1;CTBP1
R-HSA-3214847	HATs acetylate histones	http://reactome.org/PathwayBrowser/#/R-HSA-3214847	4	4	0.3956043956043956	10.11111111111111	7.752178362119277e-5	0.0012145079433986867	10499;3054;8648;9575	CLOCK;NCOA2;NCOA1;HCFC1
R-HSA-1368082	RORA activates gene expression	http://reactome.org/PathwayBrowser/#/R-HSA-1368082	4	4	0.3956043956043956	10.11111111111111	7.752178362119277e-5	0.0012145079433986867	10499;5465;6095;8648	PPARA;NCOA2;NCOA1;RORA
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	http://reactome.org/PathwayBrowser/#/R-HSA-381340	10	6	0.9890109890109889	6.066666666666667	8.636417470997415e-5	0.0012684738160527453	10499;1050;10891;5465;84498;8648	PPARGC1A;CEBPA;FAM120B;PPARA;NCOA2;NCOA1
R-HSA-597592	Post-translational protein modification	http://reactome.org/PathwayBrowser/#/R-HSA-597592	19	8	1.879120879120879	4.257309941520468	1.1675330643223791e-4	0.0016139427653868183	10499;10891;1487;3054;3607;5465;6095;8648	PPARGC1A;PPARA;NCOA2;NCOA1;CTBP1;HCFC1;FOXK2;RORA
R-HSA-1430728	Metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1430728	42	11	4.153846153846153	2.6481481481481484	6.675088739912516e-4	0.008714699188219118	10499;10891;2874;51085;5465;5467;6095;84498;8648;9572;9575	PPARGC1A;GPS2;CLOCK;PPARD;NR1D1;FAM120B;PPARA;NCOA2;NCOA1;MLXIPL;RORA
R-HSA-1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	http://reactome.org/PathwayBrowser/#/R-HSA-1655829	3	3	0.2967032967032967	10.11111111111111	8.721200657384465e-4	0.010247410772426746	10499;5465;8648	PPARA;NCOA2;NCOA1
R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	http://reactome.org/PathwayBrowser/#/R-HSA-2426168	3	3	0.2967032967032967	10.11111111111111	8.721200657384465e-4	0.010247410772426746	10499;5465;8648	PPARA;NCOA2;NCOA1
R-HSA-383280	Nuclear Receptor transcription pathway	http://reactome.org/PathwayBrowser/#/R-HSA-383280	7	4	0.6923076923076923	5.777777777777778	0.002193720711766267	0.02454877939357489	5465;5467;6095;9572	PPARD;NR1D1;PPARA;RORA
R-HSA-8957322	Metabolism of steroids	http://reactome.org/PathwayBrowser/#/R-HSA-8957322	4	3	0.3956043956043956	7.583333333333334	0.0032559149120903186	0.03477909110641931	10499;5465;8648	PPARA;NCOA2;NCOA1
